唯一标识,唯一标识,唯一标识
id,c1,c2
string,string,string
1001,可口可乐放着不喝会怎么样？,会变成摆饰可乐
1002,公鹿跑起来会变成什么？,高速公路
1003,人死后会变成星星，商鞅死后会变成什么？,五星上将
1004,世界上最内卷的地方在哪里？,木乃伊博物馆，因为有的是人干
1005,鸽子怎么说话？,“在路上了”
1006,什么动物喜欢贴在墙上？,海豹
1007,超人为什么要穿紧身衣,因为救人要紧
1008,猫会喵喵喵，狗会汪汪汪，鸭会嘎嘎嘎，鸡会什么,鸡会留给又准备的人
1009,旺旺雪饼觉得热了会变成什么？,旺旺掀被
1010,愚公移山会唱什么歌？,小星星，移山移山亮晶晶
1011,一朵花为什么好笑？,因为它有梗
1012,淄博有烧烤，云南有泼水节，深圳有什么？,深圳不怕影子斜
1013,打电话叫彩虹来，为什么只到了五种颜色？,因为青黄不接
1014,牛排煎得太熟怎么办？,放点起司就好了，起司回生
1015,一个0去一个全是1的地方，第一句话会说什么？,"Hello everyone"
1016,恐怖分子楼下住着谁？,恐怖分母
1017,什么东西吃进嘴里凉凉的，还咯牙？,空调
1018,投资和投机有什么区别？,一个是普通话，一个是广东话
1019,什么东西最提神？,十字架
1020,女娲用什么补天？,强扭的瓜
1021,为什么阿姨不流汗,因为阿姨怕留下遗憾
1022,什么东西最不寂寞？,游标卡尺，游标卡尺不估读
1023,积德行善的反义词是什么？,柯南行凶
1024,M和N吵架，最后是谁道歉？,"M，M sorry"
1025,晴天为什么让人心情好？,因为人在无雨的时候会笑
1026,花生到日本会变成什么？,花生酱
1027,什么东西和灯泡一样，但是不会亮？,坏灯泡
1028,可乐和咖啡谁更长寿？,咖啡，因为可乐会没气
1029,米的妈妈是谁？,是花，因为花生米
1030,湖南的鬼是什么？,湘飘飘
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
